term_name,description,field_authority_link,field_location_of_meeting,field_num_of_section_or_meet,field_primary_name,field_subordinate_name,field_unique_id
A. H. Grape and Co.,,,,,A. H. Grape and Co.,,cb1d1051-691a-4728-8039-7443c2217cad
A. Hoen & Co.,,lcnaf%%http://id.loc.gov/authorities/names/n50023560|viaf%%http://viaf.org/viaf/138342013,,,A. Hoen & Co.,,df8b2462-1e67-413a-a140-c824e20add74
A. Jackson Co.,,,,,A. Jackson Co.,,f6326e3f-cbf1-43eb-8859-95555baa9973
ABC Television Network,,viaf%%http://viaf.org/viaf/129083767|lcnaf%%http://id.loc.gov/authorities/names/n85376652,,,ABC Television Network,,7cf30c11-94be-455b-a8cd-5714d249e8ee
ABC-TV Photo Division,Location information: New York|basic_html|Location information: New York,,,,ABC-TV Photo Division,,194aa6f9-6025-4408-a3c7-fb2ca72b2ee0
Albany Art Union,,viaf%%http://viaf.org/viaf/123332161|lcnaf%%http://id.loc.gov/authorities/names/n98015091,,,Albany Art Union,,3c7d8648-6f5a-44d1-b11c-af6ece5deb86
"Alfred A. Knopf, Inc.",,viaf%%http://viaf.org/viaf/142395924|lcnaf%%http://id.loc.gov/authorities/names/n50062227,,,"Alfred A. Knopf, Inc.",,5baecd35-6b2d-41f1-a724-2fb3dd74dabb
Alman & Co.,"Location information: New York City, NY|basic_html|Location information: New York City, NY",lcnaf%%http://id.loc.gov/authorities/names/no2009160567|viaf%%http://viaf.org/viaf/121176577,,,Alman & Co.,,0f8b82ee-5410-49d5-b43a-bf6823d0de6d
Alpha Epsilon Pi,,viaf%%http://viaf.org/viaf/143063247|lcnaf%%http://id.loc.gov/authorities/names/n80049530,,,Alpha Epsilon Pi,,cd681aaa-d5c7-4523-ad0e-2d8597197e8d
American Association of University Women,,viaf%%http://viaf.org/viaf/140137355|lcnaf%%http://id.loc.gov/authorities/names/n79100563,,,American Association of University Women,,1fa2cc98-72ad-44a9-89a1-e2e185bd8ab3
American Civil Liberties Union,,viaf%%http://viaf.org/viaf/124191829|lcnaf%%http://id.loc.gov/authorities/names/n79079580,,,American Civil Liberties Union,,dbdfb36b-e88a-41eb-ab8f-c6d6e0a25c09
American Foto-News,Location information: New York|basic_html|Location information: New York,,,,American Foto-News,,e0d5a000-d2fa-4336-b8c0-36a14e8ba2e7
American Heart Association,,viaf%%http://viaf.org/viaf/139377934|lcnaf%%http://id.loc.gov/authorities/names/n79007195,,,American Heart Association,,21695ca8-c40a-4fec-bd6a-d194fc094f32
