term_name,description,field_authority_link,field_location_of_meeting,field_num_of_section_or_meet,field_primary_name,,field_subordinate_name,,field_unique_id
A. H. Grape and Co.,,,,,A. H. Grape and Co.,,,,cb1d1051-691a-4728-8039-7443c2217cad
A. Hoen & Co.,,http://id.loc.gov/authorities/names/n50023560|||lcnaf|http://viaf.org/viaf/138342013|||viaf,,,A. Hoen & Co.,,,,df8b2462-1e67-413a-a140-c824e20add74
A. Jackson Co.,,,,,A. Jackson Co.,,,,f6326e3f-cbf1-43eb-8859-95555baa9973
ABC Television Network,,http://viaf.org/viaf/129083767|||viaf|http://id.loc.gov/authorities/names/n85376652|||lcnaf,,,ABC Television Network,,,,7cf30c11-94be-455b-a8cd-5714d249e8ee
ABC-TV Photo Division,Location information: New York|basic_html|Location information: New York,,,,ABC-TV Photo Division,,,,194aa6f9-6025-4408-a3c7-fb2ca72b2ee0
Albany Art Union,,http://viaf.org/viaf/123332161|||viaf|http://id.loc.gov/authorities/names/n98015091|||lcnaf,,,Albany Art Union,,,,3c7d8648-6f5a-44d1-b11c-af6ece5deb86
"Alfred A. Knopf, Inc.",,http://viaf.org/viaf/142395924|||viaf|http://id.loc.gov/authorities/names/n50062227|||lcnaf,,,"Alfred A. Knopf, Inc.",,,,5baecd35-6b2d-41f1-a724-2fb3dd74dabb
Alman & Co.,"Location information: New York City, NY|basic_html|Location information: New York City, NY",http://id.loc.gov/authorities/names/no2009160567|||lcnaf|http://viaf.org/viaf/121176577|||viaf,,,Alman & Co.,,,,0f8b82ee-5410-49d5-b43a-bf6823d0de6d
Alpha Epsilon Pi,,http://viaf.org/viaf/143063247|||viaf|http://id.loc.gov/authorities/names/n80049530|||lcnaf,,,Alpha Epsilon Pi,,,,cd681aaa-d5c7-4523-ad0e-2d8597197e8d
American Association of University Women,,http://viaf.org/viaf/140137355|||viaf|http://id.loc.gov/authorities/names/n79100563|||lcnaf,,,American Association of University Women,,,,1fa2cc98-72ad-44a9-89a1-e2e185bd8ab3
American Civil Liberties Union,,http://viaf.org/viaf/124191829|||viaf|http://id.loc.gov/authorities/names/n79079580|||lcnaf,,,American Civil Liberties Union,,,,dbdfb36b-e88a-41eb-ab8f-c6d6e0a25c09
American Foto-News,Location information: New York|basic_html|Location information: New York,,,,American Foto-News,,,,e0d5a000-d2fa-4336-b8c0-36a14e8ba2e7
American Heart Association,,http://viaf.org/viaf/139377934|||viaf|http://id.loc.gov/authorities/names/n79007195|||lcnaf,,,American Heart Association,,,,21695ca8-c40a-4fec-bd6a-d194fc094f32
American School of Classical Studies at Athens,,http://viaf.org/viaf/133339899|||viaf|http://id.loc.gov/authorities/names/n79058461|||lcnaf,,,American School of Classical Studies at Athens,,,,24c1fe1f-4762-47b0-b627-6e2b3eac4e81
AmeriCorps (U.S.),,http://viaf.org/viaf/153899556|||viaf|http://id.loc.gov/authorities/names/no94023873|||lcnaf,,,AmeriCorps (U.S.),,,,703a10c8-2b36-43ef-9c57-e556225e1756
ANSA,,,,,ANSA,,,,fa25055f-0302-4323-8f64-6a07a0aca819
Apollo 17 (Spacecraft),,http://viaf.org/viaf/147897326|||viaf|http://id.loc.gov/authorities/names/n93060597|||lcnaf,,,Apollo 17 (Spacecraft),,,,905c5770-9630-4620-a4ce-566d9be1a97b
Army Photographic Agency,"Location information: Washington, DC|basic_html|Location information: Washington, DC",,,,Army Photographic Agency,,,,261f7ace-9b8f-476c-ad6b-f317865f80f5
Arthur Studio,,,,,Arthur Studio,,,,214009f4-afc3-41ee-a983-97d8ca325d78
Artvue Post Card Co.,,,,,Artvue Post Card Co.,,,,30a1d31e-0a70-44c0-86bc-38ee19678c2d
Ashinan Photo,,,,,Ashinan Photo,,,,701b950b-b8b4-4273-856f-fbfa266cc70a
Ashman Studio,,,,,Ashman Studio,,,,526d6f8a-f81c-4c48-9ae7-4e4be6063a6d
Association of American Universities,,http://viaf.org/viaf/137100626|||viaf|http://id.loc.gov/authorities/names/n84038160|||lcnaf,,,Association of American Universities,,,,f161f5b5-fa84-4ed4-95e3-449a26751cc0
Association of Universities for Research in Astronomy,,http://viaf.org/viaf/135467076|||viaf|http://id.loc.gov/authorities/names/n82115526|||lcnaf,,,Association of Universities for Research in Astronomy,,,,5f504734-0341-478c-8514-cbb6f4175637
Atkinson Studio,"Location information: Austin, TX|basic_html|Location information: Austin, TX",,,,Atkinson Studio,,,,e08c82c1-93d7-49dd-878f-abdf9b271fdd
Atomic Bomb Casualty Commission,,http://viaf.org/viaf/132297183|||viaf|http://id.loc.gov/authorities/names/n50073710|||lcnaf,,,Atomic Bomb Casualty Commission,,,,e6234252-ed3e-4289-af1e-b7e70b4874e5
Augusta Photographers,"Location information: Augusta, GA|basic_html|Location information: Augusta, GA",,,,Augusta Photographers,,,,442dbe41-c39c-4db1-9f32-17cb53c9447a
Bachrach,"Location information: Baltimore, MD|basic_html|Location information: Baltimore, MD",http://viaf.org/viaf/23898990|||viaf|http://id.loc.gov/authorities/names/n97859552|||lcnaf,,,Bachrach,,,,168ee71e-abf9-44d8-967b-e303770493dc
Bachrach & Bro.,,,,,Bachrach & Bro.,,,,a913ac4e-9333-4d78-99c5-9a3e5a1735f3
Baltimore (Md.). City Council,,http://viaf.org/viaf/1179145424596586830096|||viaf|http://id.loc.gov/authorities/names/n88613580|||lcnaf,,,Baltimore (Md.),,City Council,,dc7ffbfe-a449-42e3-8f76-4ecb1c2a4f27
Baltimore and Ohio Railroad Company,,http://viaf.org/viaf/128436378|||viaf|http://id.loc.gov/authorities/names/n79085090|||lcnaf,,,Baltimore and Ohio Railroad Company,,,,eb9f3c90-f570-4e3b-8dba-67905dab0cf6
Baltimore City College,,http://viaf.org/viaf/138487667|||viaf|http://id.loc.gov/authorities/names/n88238895|||lcnaf,,,Baltimore City College,,,,4770dbea-4cd8-4f26-a01d-f932ba640d5b
Baltimore City Public Schools,,http://viaf.org/viaf/144213413|||viaf|http://id.loc.gov/authorities/names/n50027055|||lcnaf,,,Baltimore City Public Schools,,,,f8b3c406-5d5c-490b-8de2-a038519dcdf4
"Baltimore Flying Service, Inc.",,,,,"Baltimore Flying Service, Inc.",,,,1a26d6af-eaf4-4479-9d49-8bf0a277bf44
Baltimore Gas and Electric Company,,http://viaf.org/viaf/122888270|||viaf|http://id.loc.gov/authorities/names/n84040666|||lcnaf,,,Baltimore Gas and Electric Company,,,,23b11c77-727f-41a6-a26c-28519afbd0f7
Baltimore Museum of Art,,http://viaf.org/viaf/139120204|||viaf|http://id.loc.gov/authorities/names/n79079550|||lcnaf,,,Baltimore Museum of Art,,,,01f83bdb-c764-4d19-a0fb-8dfd80cce189
Baltimore Orioles (Baseball team),,http://viaf.org/viaf/124327238|||viaf|http://id.loc.gov/authorities/names/n79151564|||lcnaf,,,Baltimore Orioles (Baseball team),,,,e0aad625-6ea7-4dd5-9212-b4e374de5887
Baltimore sun,,http://viaf.org/viaf/186603738|||viaf|http://id.loc.gov/authorities/names/no2010112182|||lcnaf,,,Baltimore sun,,,,848fa500-e523-47d1-ab28-4ba9d7047702
Baltimore Symphony Orchestra,,http://viaf.org/viaf/144389490|||viaf|http://id.loc.gov/authorities/names/n82010866|||lcnaf,,,Baltimore Symphony Orchestra,,,,607fbd9f-fdb5-4895-9e12-60e7e477dd55
Baltimore Woodwinds,,,,,Baltimore Woodwinds,,,,f3791b53-207a-4d9b-ba41-c913d54827f7
Baltimore YMCA,,http://viaf.org/viaf/145937451|||viaf|http://id.loc.gov/authorities/names/n2001099210|||lcnaf,,,Baltimore YMCA,,,,7b1ce322-31ab-4928-9939-56018a757651
Baltimore. Model Cities Section,,http://viaf.org/viaf/143037565|||viaf|http://id.loc.gov/authorities/names/n50066523|||lcnaf,,,Baltimore,,Model Cities Section,,f56911d1-1c1c-4a4e-af75-d338835c60a6
"Beake-Huntington, Inc.","Location information: Springfield, MA|basic_html|Location information: Springfield, MA",,,,"Beake-Huntington, Inc.",,,,452a62cf-da9b-4d2a-af5f-3bb338920a7b
Bell Telephone Laboratories‏,,http://viaf.org/viaf/133679516|||viaf|http://id.loc.gov/authorities/names/n79093275|||lcnaf,,,Bell Telephone Laboratories‏,,,,64fc7a6a-7017-4322-b69f-e56a2363356a
Bendann Bros.,,http://viaf.org/viaf/254642983|||viaf|http://id.loc.gov/authorities/names/no2012114540|||lcnaf,,,Bendann Bros.,,,,c76a3ba1-ed69-441c-9fa2-eb18f0095036
Bendann Studios,,,,,Bendann Studios,,,,5163030e-d9c1-47b8-bb6b-02a6ea2f025d
Bethlehem Steel Corporation,,http://viaf.org/viaf/126114029|||viaf|http://id.loc.gov/authorities/names/n50077079|||lcnaf,,,Bethlehem Steel Corporation,,,,77bb4620-127e-4d06-bfb0-ace9fa4010b8
Black Panther Party,,http://viaf.org/viaf/148335011|||viaf|http://id.loc.gov/authorities/names/n80095585|||lcnaf,,,Black Panther Party,,,,0ca8f2b1-98b3-4d2e-bec8-57d7e942fac3
Blackstone Studios,Location information: New York|basic_html|Location information: New York,,,,Blackstone Studios,,,,4822f8c5-7aa0-4d53-bb12-147d7483dd53
Blakeslee-Lane,"Location information: Baltimore, MD|basic_html|Location information: Baltimore, MD",,,,Blakeslee-Lane,,,,a3f72051-c33e-4d7f-8c7c-76cd1af70264
Blank & Stoller,,,,,Blank & Stoller,,,,5290dab1-0a34-4c7d-b13e-172f9ea0c5a3
Blessing & Co.,,,,,Blessing & Co.,,,,e4c38fef-1433-4a81-b6df-4471e5a5d4c7
Blessing & Kuhn,,,,,Blessing & Kuhn,,,,f63829c4-2520-469d-b0ec-d23bffe3dd10
Blue Key Society,,,,,Blue Key Society,,,,5dbd176e-e5f8-4e58-9b8e-f360adedccc6
Bogart Studio,,http://viaf.org/viaf/255736404|||viaf|http://id.loc.gov/authorities/names/no2012088864|||lcnaf,,,Bogart Studio,,,,c0fa5c8b-b4cb-433f-8e1a-d7c4b1ce0245
Bourne & Shepherd,"Location information: Simla, India|basic_html|Location information: Simla, India",http://viaf.org/viaf/132430450|||viaf|http://id.loc.gov/authorities/names/n84022583|||lcnaf,,,Bourne & Shepherd,,,,5223d451-727d-41ef-a2da-d8ca7ddf2fb5
Boy Scouts of America,,http://viaf.org/viaf/134291122|||viaf|http://id.loc.gov/authorities/names/n79053967|||lcnaf,,,Boy Scouts of America,,,,8985e3fd-ddcf-4604-819e-5602d40cc661
Bradley & Rulofson,"Location information: San Francisco, CA|basic_html|Location information: San Francisco, CA",http://id.loc.gov/authorities/names/nr2001044513|||lcnaf|http://viaf.org/viaf/142311068|||viaf,,,Bradley & Rulogson,,,,8ff85928-b295-474c-b5d2-224b192709a3
British Broadcasting Corporation,,http://viaf.org/viaf/127458402|||viaf|http://id.loc.gov/authorities/names/n79074359|||lcnaf,,,British Broadcasting Corporation,,,,13c4e1ea-bb07-420e-bfbb-389b83511cf2
British Information Services,,http://viaf.org/viaf/124912515|||viaf|http://id.loc.gov/authorities/names/n79004218|||lcnaf,,,British Information Services,,,,7a85760c-c18f-44f6-8662-2f1e35026bd9
Brookhaven National Laboratory,,http://viaf.org/viaf/144875663|||viaf|http://id.loc.gov/authorities/names/n79034815|||lcnaf,,,Brookhaven National Laboratory,,,,3212d8d6-f612-4a11-9f24-f6bc47bfbcde
Brookner Studios,"Location information: Pittsburgh, PA|basic_html|Location information: Pittsburgh, PA",,,,Brookner Studios,,,,3eb98904-c878-4495-82e7-67b7c22661ee
Brown University. Photographic Lab,"Location information: Providence, RI|basic_html|Location information: Providence, RI",,,,Brown University,,Photographic Lab,,6620b2e5-4079-4950-ba4f-4f9f6607c8e3
Bryn Mawr College,,http://viaf.org/viaf/156742565|||viaf|http://id.loc.gov/authorities/names/n50049445|||lcnaf,,,Bryn Mawr College,,,,d4a7118b-5b26-4057-8aa5-dd53d4c2c8e6
"Buckler, Fenhagen, Meyer & Ayers",,,,,"Buckler, Fenhagen, Meyer & Ayers",,,,a5a0861b-0893-452f-851f-70693bee5a3e
California Institute of Technology,,http://viaf.org/viaf/156631200|||viaf|http://id.loc.gov/authorities/names/n79022880|||lcnaf,,,California Institute of Technology,,,,a07fed84-8c81-46fd-9fe0-d969a3bb4d6b
"Cameramen, Inc.",,,,,"Cameramen, Inc.",,,,8af47a83-d508-4535-afcb-940b3255ce5c
Canadian Government Motion Picture Bureau,,http://viaf.org/viaf/144167300|||viaf|http://id.loc.gov/authorities/names/n80121339|||lcnaf,,,Canadian Government Motion Picture Bureau,,,,739e6d32-a667-4f2c-aec2-a1ef2ea4866a
Carlyle Studios,"Location information: 28 West 57th Street New York, NY|basic_html|Location information: 28 West 57th Street New York, NY",,,,Carlyle Studios,,,,01c7d7ee-f0b8-4956-be8f-b1590e21a803
