term_name,description,field_authority_link,field_unique_id
Atlases,,lcgft%%http://id.loc.gov/authorities/genreForms/gf2011026058,b8c0efd2-c384-4016-b42f-c2cdba60903d
building plans,,aat%%http://vocab.getty.edu/page/aat/300034157,608114dd-b68d-4674-a9df-5ba74f24f8a4
contact sheets,,aat%%http://vocab.getty.edu/page/aat/300127183,0563641c-0e20-4a04-afc0-a68ef4acf0d1
documentary photography,,aat%%http://vocab.getty.edu/page/aat/300134547,65f44055-efc5-4f77-9aee-51f6e18f8194
drawings (visual works),,aat%%http://vocab.getty.edu/page/aat/300033973,b9c9b25b-fa60-4b34-9c7c-079f4116e1a7
Educational television programs,,lcgft%%http://id.loc.gov/authorities/genreForms/gf2011026221,f181ccb4-f7dc-4834-8af1-a6330b06c7ee
elevations (orthographic projections),,aat%%http://vocab.getty.edu/page/aat/300034065,61da532c-2a6d-498e-86a6-590be6949a36
engravings (prints),,aat%%http://vocab.getty.edu/page/aat/300041340,106efc1e-061b-4857-9f2c-e484f947f47d
etchings (prints),,aat%%http://vocab.getty.edu/page/aat/300041365,46f9900a-12aa-44ac-a9a4-a34362e4415d
exterior views,,aat%%http://vocab.getty.edu/page/aat/300124515,5039fbc1-f43d-4004-97da-17b809238d17
Georeferenced maps,,,823c45c2-b089-4e99-a985-82422fe76000
group portraits,,aat%%http://vocab.getty.edu/page/aat/300124525,53ae8597-ef8c-442b-a734-6eff625640f0
interior views,,aat%%http://vocab.getty.edu/page/aat/300124520,cf5601d8-b6bc-490f-b83d-723b61cf5ba8
interviews,,aat%%http://vocab.getty.edu/page/aat/300026392,5292adbf-b40b-4255-8c46-48c4e42d22c6
lantern slides,,aat%%http://vocab.getty.edu/page/aat/300134977,35751354-b4ce-4844-92cf-28fb7a6fa86d
lithographs,,aat%%http://vocab.getty.edu/page/aat/300041379,21ddd617-c938-403f-bf2c-0504a6c07aeb
Maps,,lcgft%%http://id.loc.gov/authorities/genreForms/gf2011026387,6c29ef72-67e7-4d5a-b515-01c8099d6224
maps (documents),,aat%%http://vocab.getty.edu/page/aat/300028094,f9aaa93b-4b34-4451-9f83-65150355796f
negatives (photographs),,aat%%http://vocab.getty.edu/page/aat/300127173,9feb20d4-0c94-4c82-ad21-d690751cbc44
newsletters,,aat%%http://vocab.getty.edu/page/aat/300026652,95079529-25e4-409c-8410-3bfea8493fc5
oral histories (literary works),,aat%%http://vocab.getty.edu/page/aat/300202595,67b872ff-cd0f-4346-98fc-33ca8f71bd07
paintings (visual works),,aat%%http://vocab.getty.edu/page/aat/300033618,4efbc937-54c0-40bf-8080-6e1eee28200c
photographs,,aat%%http://vocab.getty.edu/page/aat/300046300,4b16f314-503d-46bd-86d7-d3f4566e01ba
picture postcards,,aat%%http://vocab.getty.edu/page/aat/300026819,0c70f635-b9c4-416f-93bd-be06ec95a9ef
plats (maps),,aat%%http://vocab.getty.edu/page/aat/300028125,7bd0f21a-1e11-4ff4-8aff-6207385c3c22
portraits,,aat%%http://vocab.getty.edu/page/aat/300015637,3a922684-c0d5-4015-b52e-06ae13765534
publications (documents),,aat%%http://vocab.getty.edu/page/aat/300111999,728fd57e-e5b1-4e69-865c-33d53b64f1ca
reproductions (derivative objects),,aat%%http://vocab.getty.edu/page/aat/300015643,2d05f22a-1e72-4d01-aa15-30a593d9b8fe
slides (photographs),,aat%%http://vocab.getty.edu/page/aat/300128371,8cbea4ab-49e1-4a34-a493-01cf40e6ae0a
works of art,,aat%%http://vocab.getty.edu/page/aat/300133025,61171f7c-e971-4eb7-801b-efb1e1093fa9
