term_name,description,field_authority_link,field_geo_alt_name,field_unique_id
Alaska--Glacier Bay National Park and Preserve,,fast%%http://id.worldcat.org/fast/1260188|geonames%%http://sws.geonames.org/5846642/,,5071db88-d7f8-4ea6-bf33-3e9cf106e915
Alberta--Edmonton,,fast%%http://id.worldcat.org/fast/1204309|geonames%%http://sws.geonames.org/5946768/|viaf%%http://viaf.org/viaf/150041089,,0ffeee77-fd34-44ac-a0e5-55eac83228fa
Appalachian Region,,fast%%http://id.worldcat.org/fast/1240092,,2864f888-5c33-4240-942b-414ee414d42a
Arizona--Grand Canyon,,fast%%http://id.worldcat.org/fast/1240455,,085dd25d-1844-4db8-b5e0-e5d36f638d62
Armenia,,fast%%http://id.worldcat.org/fast/1206470|geonames%%http://sws.geonames.org/174982/|viaf%%http://viaf.org/viaf/136032216,,414a938b-afbf-49e0-a84f-c7f1a3ec608d
Atlantic Ocean--Chesapeake Bay,,fast%%http://id.worldcat.org/fast/1310474|geonames%%http://sws.geonames.org/4351177/,,a26295c0-25a0-441a-90e2-3c2a39ed9d54
Bangladesh,,fast%%http://id.worldcat.org/fast/1213724|viaf%%http://viaf.org/viaf/153614928,,9fcbb19d-b2ac-476b-bb14-d0438e3f674c
Brazil--Marajó Island,,fast%%http://id.worldcat.org/fast/1242920|geonames%%http://sws.geonames.org/3395453,,b3c6d52b-f4c3-4e96-b05d-89e1c3a88750
California,,fast%%http://id.worldcat.org/fast/1204928|geonames%%http://sws.geonames.org/5332921/|viaf%%http://viaf.org/viaf/147680367,,123c9072-b5ce-46bb-a5e5-d0374af59391
California--Daly City,,fast%%http://id.worldcat.org/fast/1234629|geonames%%http://sws.geonames.org/5341430|viaf%%http://viaf.org/viaf/128861069,,ff40822a-bf7a-4be5-91be-72c33336acb3
California--Fresno,,fast%%http://id.worldcat.org/fast/1207374|geonames%%http://sws.geonames.org/5350937/,,37f01974-f14a-404b-91e5-972ce4591151
California--Los Angeles,,fast%%http://id.worldcat.org/fast/1204540|geonames%%http://sws.geonames.org/5368361/|viaf%%http://viaf.org/viaf/124053622,,3a0b2f12-53fd-4ed8-94bb-5ac8004f5adb
California--Paramount,,fast%%http://id.worldcat.org/fast/1219047|geonames%%http://sws.geonames.org/5381110/|viaf%%http://viaf.org/viaf/146599632,,c2084852-bf86-4a43-a8e1-2e7880940290
California--San Francisco,,fast%%http://id.worldcat.org/fast/1204481|viaf%%http://viaf.org/viaf/143700861|geonames%%http://sws.geonames.org/5391959/,,d6e65894-2770-4e94-9822-fbcf7662d53d
California--Yosemite National Park,,fast%%http://id.worldcat.org/fast/1308988|geonames%%http://sws.geonames.org/5410952,,d72e7c18-a3d7-4627-9aca-a79e1887437f
China--Taishan Shi (Guangdong Sheng),,fast%%http://id.worldcat.org/fast/1327238|viaf%%http://viaf.org/viaf/125824140|geonames%%http://sws.geonames.org/1793545/,,1902830c-6ef6-49e5-a5f4-777cd60ed978
Cuba,,fast%%http://id.worldcat.org/fast/1205805|geonames%%http://sws.geonames.org/3562984/|viaf%%http://viaf.org/viaf/127245163,,93c708f0-5457-48e0-b612-e31ad260fd5f
Cuba--Havana,,http://sws.geonames.org/3553478/geonames%http://id.worldcat.org/fast/1205198|viaf%%http://viaf.org/viaf/129224713,,0b924a4f-b7e3-4ccc-8e32-b7d7ad0f2df3
Deep space--Andromeda Galaxy,,fast%%http://id.worldcat.org/fast/1239892,,36efc75e-fb24-476b-89a3-15f89dddd825
Delaware,,fast%%http://id.worldcat.org/fast/1204929|geonames%%http://sws.geonames.org/4142224/|viaf%%http://viaf.org/viaf/235924579,,18c0fcaa-051d-47b6-b670-a8295d896163
Earth (Planet),,fast%%http://id.worldcat.org/fast/1860481|geonames%%http://sws.geonames.org/6295630,,ccf10e34-ee8d-49f8-be2f-75b2c0185f19
Easter Island,,fast%%http://id.worldcat.org/fast/1243649|geonames%%http://sws.geonames.org/6631864,,1a643dda-92c5-4b9e-aa65-a1a6711c9638
