id,url,uuid,title,field_collection_number,field_date_available,field_date_published,field_finding_aid,field_item_barcode,field_library_catalog_link,field_oclc_number,field_unique_id,field_abstract,field_rights,field_access_terms,field_copyright_and_use,field_description,field_digital_publisher,field_genre,field_model,field_publisher,field_resource_type,field_subject,field_alternative_title,field_featured_item,field_dspace_item_id,field_digital_identifier,field_creator,field_publisher_country,field_spatial_coverage,field_date_copyrighted,field_date_created,file,field_contributor
1501,https://digital.library.jhu.edu/node/12598,0a8f6deb-832b-4980-9eba-2095e4068ce2,"Johns Hopkins University News-letter, Volume 17, Number 15 (1913 February 03)",RG.14.050,2016-03-09,1913-02-03,https://aspace.library.jhu.edu/repositories/3/resources/1131,,,,f2b8430f-fdfe-4568-8205-6b8f0e58e485,,Public digital access,News-Letters,Copyright Not Evaluated,,Johns Hopkins University. Sheridan Libraries,newsletters||publications (documents),Digital Document,The Johns Hopkins News-Letter,Text,College students--Societies and clubs||College student newspapers and periodicals,,,e5e169bb-7534-4250-9b71-a293f14040aa,,relators:aut:The Johns Hopkins News-Letter,United States,Maryland--Baltimore,,,https://stage.digital.library.jhu.edu/system/files/2022-03-16/1912_017_015_0.pdf,
1502,https://digital.library.jhu.edu/node/12599,f81cc1a2-182f-4aed-bd27-f717918ce80d,"Johns Hopkins University News-letter, Volume 39, Number 35 (1935 March 15)",RG.14.050,2017-09-15,1935-03-15,https://aspace.library.jhu.edu/repositories/3/resources/1131,,,,077f99af-849c-4a06-85f3-0a9eff54244a,,Public digital access,News-Letters,Copyright Not Evaluated,,Johns Hopkins University. Sheridan Libraries,newsletters||publications (documents),Digital Document,The Johns Hopkins News-Letter,Text,College students--Societies and clubs||College student newspapers and periodicals,,,0054d178-4cf0-4f69-ba85-5bc5321f42cb,,relators:aut:The Johns Hopkins News-Letter,United States,Maryland--Baltimore,,,https://stage.digital.library.jhu.edu/system/files/2022-03-16/1935_39_35.pdf,
1503,https://digital.library.jhu.edu/node/12600,c5aabe59-e0e4-4fa2-9a1d-08fb1483b066,"Johns Hopkins University News-letter, Volume 17, Number 16 (1913 February 10)",RG.14.050,2016-03-09,1913-02-10,https://aspace.library.jhu.edu/repositories/3/resources/1131,,,,9d4f7a3d-42b8-4c4c-998a-f0989e7b5797,,Public digital access,News-Letters,Copyright Not Evaluated,,Johns Hopkins University. Sheridan Libraries,newsletters||publications (documents),Digital Document,The Johns Hopkins News-Letter,Text,College students--Societies and clubs||College student newspapers and periodicals,,,c0facf8d-7738-4aef-86de-e3ec9e67efcf,,relators:aut:The Johns Hopkins News-Letter,United States,Maryland--Baltimore,,,https://stage.digital.library.jhu.edu/system/files/2022-03-16/1912_017_016_0.pdf,
1504,https://digital.library.jhu.edu/node/12601,10dcd17d-9b29-4272-8e28-5d25204bd10c,"Johns Hopkins University News-letter, Volume 39, Number 36 (1935 March 19)",RG.14.050,2017-09-15,1935-03-19,https://aspace.library.jhu.edu/repositories/3/resources/1131,,,,b6a8e933-d39a-48f4-8cbe-7865ec142e01,,Public digital access,News-Letters,Copyright Not Evaluated,,Johns Hopkins University. Sheridan Libraries,newsletters||publications (documents),Digital Document,The Johns Hopkins News-Letter,Text,College students--Societies and clubs||College student newspapers and periodicals,,,12ec752e-62c6-4176-9ffc-7f58578d5001,,relators:aut:The Johns Hopkins News-Letter,United States,Maryland--Baltimore,,,https://stage.digital.library.jhu.edu/system/files/2022-03-16/1935_39_36.pdf,
1505,https://digital.library.jhu.edu/node/12602,a1f13f85-68e7-4bf0-9aa0-4c9e2e6020bf,"Johns Hopkins University News-letter, Volume 17, Number 17 (1913 February 17)",RG.14.050,2016-03-09,1913-02-17,https://aspace.library.jhu.edu/repositories/3/resources/1131,,,,cd7f2908-dee0-4c98-add8-8e26d1a6eb7f,,Public digital access,News-Letters,Copyright Not Evaluated,,Johns Hopkins University. Sheridan Libraries,newsletters||publications (documents),Digital Document,The Johns Hopkins News-Letter,Text,College students--Societies and clubs||College student newspapers and periodicals,,,9fd715a7-6799-446a-8e00-a14db2839b7e,,relators:aut:The Johns Hopkins News-Letter,United States,Maryland--Baltimore,,,https://stage.digital.library.jhu.edu/system/files/2022-03-16/1912_017_017_0.pdf,
1506,https://digital.library.jhu.edu/node/12603,af505684-7a47-4345-9d96-38ece4251e74,"Johns Hopkins University News-letter, Volume 39, Number 37 (1935 March 22)",RG.14.050,2017-09-15,1935-03-22,https://aspace.library.jhu.edu/repositories/3/resources/1131,,,,a5e2a4dc-432e-46c7-9493-bb873091b27e,,Public digital access,News-Letters,Copyright Not Evaluated,,Johns Hopkins University. Sheridan Libraries,newsletters||publications (documents),Digital Document,The Johns Hopkins News-Letter,Text,College students--Societies and clubs||College student newspapers and periodicals,,,374b18a5-a97d-470f-b3d8-9163e2568f18,,relators:aut:The Johns Hopkins News-Letter,United States,Maryland--Baltimore,,,https://stage.digital.library.jhu.edu/system/files/2022-03-16/1935_39_37.pdf,
1507,https://digital.library.jhu.edu/node/12604,f0cef81b-9563-4a7e-be21-bcdf97b9ebb8,"Johns Hopkins University News-letter, Volume 17, Number 18 (1913 February 24)",RG.14.050,2016-03-09,1913-02-24,https://aspace.library.jhu.edu/repositories/3/resources/1131,,,,58dc22bf-2c8a-4cb2-98c5-10839833e28f,,Public digital access,News-Letters,Copyright Not Evaluated,,Johns Hopkins University. Sheridan Libraries,newsletters||publications (documents),Digital Document,The Johns Hopkins News-Letter,Text,College students--Societies and clubs||College student newspapers and periodicals,,,44d17238-69f8-4c69-88dd-b8242feef2fe,,relators:aut:The Johns Hopkins News-Letter,United States,Maryland--Baltimore,,,https://stage.digital.library.jhu.edu/system/files/2022-03-16/1912_017_018_0.pdf,
1508,https://digital.library.jhu.edu/node/12605,89edb9ac-1038-48bd-83c5-7e65d5bf6194,"Johns Hopkins University News-letter, Volume 39, Number 38 (1935 April 02)",RG.14.050,2017-09-15,1935-04-02,https://aspace.library.jhu.edu/repositories/3/resources/1131,,,,168951ca-cc2d-4f98-bb62-faa0b4ed235c,,Public digital access,News-Letters,Copyright Not Evaluated,,Johns Hopkins University. Sheridan Libraries,newsletters||publications (documents),Digital Document,The Johns Hopkins News-Letter,Text,College students--Societies and clubs||College student newspapers and periodicals,,,76d8fc28-5228-4f5d-a1aa-fbdeea698dd1,,relators:aut:The Johns Hopkins News-Letter,United States,Maryland--Baltimore,,,https://stage.digital.library.jhu.edu/system/files/2022-03-16/1935_39_38.pdf,
1509,https://digital.library.jhu.edu/node/12606,b631f751-5d7a-4a8b-9876-f412c1a55a2f,"Johns Hopkins University News-letter, Volume 17, Number 19 (1913 March 03)",RG.14.050,2016-03-09,1913-03-03,https://aspace.library.jhu.edu/repositories/3/resources/1131,,,,d5c55a0e-385d-4cc0-b3e9-8e5f55eab4a7,,Public digital access,News-Letters,Copyright Not Evaluated,,Johns Hopkins University. Sheridan Libraries,newsletters||publications (documents),Digital Document,The Johns Hopkins News-Letter,Text,College students--Societies and clubs||College student newspapers and periodicals,,,cd5b9b31-57d3-4c79-bd70-3a97297b9af5,,relators:aut:The Johns Hopkins News-Letter,United States,Maryland--Baltimore,,,https://stage.digital.library.jhu.edu/system/files/2022-03-16/1912_017_019_0.pdf,
1510,https://digital.library.jhu.edu/node/12607,c06f81a0-9009-49cf-bdf2-ddc150a6f642,"Johns Hopkins University News-letter, Volume 39, Number 39 (1935 April 05)",RG.14.050,2017-09-15,1935-04-05,https://aspace.library.jhu.edu/repositories/3/resources/1131,,,,22f8d3a8-b3bb-4a67-ac07-ae3d55a39562,,Public digital access,News-Letters,Copyright Not Evaluated,,Johns Hopkins University. Sheridan Libraries,newsletters||publications (documents),Digital Document,The Johns Hopkins News-Letter,Text,College students--Societies and clubs||College student newspapers and periodicals,,,a8e4c15b-e642-4794-b268-46e67d4ce7b6,,relators:aut:The Johns Hopkins News-Letter,United States,Maryland--Baltimore,,,https://stage.digital.library.jhu.edu/system/files/2022-03-16/1935_39_39.pdf,
1511,https://digital.library.jhu.edu/node/12608,b06c174c-9613-4f0a-adad-efed6c78a447,"Johns Hopkins University News-letter, Volume 17, Number 20 (1913 March 10)",RG.14.050,2016-03-09,1913-03-10,https://aspace.library.jhu.edu/repositories/3/resources/1131,,,,ec3a6bd2-f736-4fd4-9075-72faf91ee972,,Public digital access,News-Letters,Copyright Not Evaluated,,Johns Hopkins University. Sheridan Libraries,newsletters||publications (documents),Digital Document,The Johns Hopkins News-Letter,Text,College students--Societies and clubs||College student newspapers and periodicals,,,432fdbdd-27ec-4182-a239-cc406c8cb17f,,relators:aut:The Johns Hopkins News-Letter,United States,Maryland--Baltimore,,,https://stage.digital.library.jhu.edu/system/files/2022-03-16/1912_017_020_0.pdf,
1512,https://digital.library.jhu.edu/node/12609,acbf6610-e6a0-45ab-93eb-27f302f991c2,"Johns Hopkins University News-letter, Volume 39, Number 40 (1935 April 09)",RG.14.050,2017-09-15,1935-04-09,https://aspace.library.jhu.edu/repositories/3/resources/1131,,,,395097a1-1989-4023-9fbe-a597a44ee56f,,Public digital access,News-Letters,Copyright Not Evaluated,,Johns Hopkins University. Sheridan Libraries,newsletters||publications (documents),Digital Document,The Johns Hopkins News-Letter,Text,College students--Societies and clubs||College student newspapers and periodicals,,,6ed0525b-0148-431f-8c9f-afaf7b2c813b,,relators:aut:The Johns Hopkins News-Letter,United States,Maryland--Baltimore,,,https://stage.digital.library.jhu.edu/system/files/2022-03-16/1935_39_40.pdf,
1513,https://digital.library.jhu.edu/node/12610,f47cb868-4bfe-4179-95de-89ac12000fce,"Johns Hopkins University News-letter, Volume 17, Number 21 (1913 April 21)",RG.14.050,2016-03-09,1913-04-21,https://aspace.library.jhu.edu/repositories/3/resources/1131,,,,42ce6c1e-0448-47ad-804e-45171f1935ad,,Public digital access,News-Letters,Copyright Not Evaluated,,Johns Hopkins University. Sheridan Libraries,newsletters||publications (documents),Digital Document,The Johns Hopkins News-Letter,Text,College students--Societies and clubs||College student newspapers and periodicals,,,e23d6472-f7fe-4570-9434-ae599d7b0128,,relators:aut:The Johns Hopkins News-Letter,United States,Maryland--Baltimore,,,https://stage.digital.library.jhu.edu/system/files/2022-03-16/1912_017_024_0.pdf,
1514,https://digital.library.jhu.edu/node/12611,0fb901d5-18e8-48ed-a775-5be7a71ec9a4,"Johns Hopkins University News-letter, Volume 39, Number 41 (1935 April 12)",RG.14.050,2017-09-15,1935-04-12,https://aspace.library.jhu.edu/repositories/3/resources/1131,,,,817968b2-d24f-4ef4-a5bb-8130c0111880,,Public digital access,News-Letters,Copyright Not Evaluated,,Johns Hopkins University. Sheridan Libraries,newsletters||publications (documents),Digital Document,The Johns Hopkins News-Letter,Text,College students--Societies and clubs||College student newspapers and periodicals,,,8a3d81a3-d06a-45ff-a39f-e4b894e6f500,,relators:aut:The Johns Hopkins News-Letter,United States,Maryland--Baltimore,,,https://stage.digital.library.jhu.edu/system/files/2022-03-16/1935_39_41.pdf,
1515,https://digital.library.jhu.edu/node/12612,ce85e12d-3e4c-4460-85e8-41cabfb39cad,"Johns Hopkins University News-letter, Volume 17, Number 21 (1913 March 31)",RG.14.050,2016-03-09,1913-03-31,https://aspace.library.jhu.edu/repositories/3/resources/1131,,,,b8812f70-db84-4f47-a608-2cb0b96395f3,,Public digital access,News-Letters,Copyright Not Evaluated,,Johns Hopkins University. Sheridan Libraries,newsletters||publications (documents),Digital Document,The Johns Hopkins News-Letter,Text,College students--Societies and clubs||College student newspapers and periodicals,,,9b14a075-6998-4b0c-a5be-a8e712298a52,,relators:aut:The Johns Hopkins News-Letter,United States,Maryland--Baltimore,,,https://stage.digital.library.jhu.edu/system/files/2022-03-16/1912_017_021_0.pdf,
1516,https://digital.library.jhu.edu/node/12613,718a9246-e848-42f1-b31d-f87eec32e3fc,"Johns Hopkins University News-letter, Volume 39, Number 42 (1935 April 16)",RG.14.050,2017-09-15,1935-04-16,https://aspace.library.jhu.edu/repositories/3/resources/1131,,,,95dd8aae-47fb-4617-80bc-924fe25f846e,,Public digital access,News-Letters,Copyright Not Evaluated,,Johns Hopkins University. Sheridan Libraries,newsletters||publications (documents),Digital Document,The Johns Hopkins News-Letter,Text,College students--Societies and clubs||College student newspapers and periodicals,,,b10dbf0f-56c4-4ca1-b19b-9e06467cbee5,,relators:aut:The Johns Hopkins News-Letter,United States,Maryland--Baltimore,,,https://stage.digital.library.jhu.edu/system/files/2022-03-16/1935_39_42.pdf,
1517,https://digital.library.jhu.edu/node/12614,7fc37678-f53e-4c9c-9350-caf41f451281,"Johns Hopkins University News-letter, Volume 17, Number 22 (1913 April 07)",RG.14.050,2016-03-09,1913-04-07,https://aspace.library.jhu.edu/repositories/3/resources/1131,,,,2090bab4-912f-48d8-b1c1-96cc8e7ccc22,,Public digital access,News-Letters,Copyright Not Evaluated,,Johns Hopkins University. Sheridan Libraries,newsletters||publications (documents),Digital Document,The Johns Hopkins News-Letter,Text,College students--Societies and clubs||College student newspapers and periodicals,,,adf2e67f-b551-4d87-8df2-31666bd74882,,relators:aut:The Johns Hopkins News-Letter,United States,Maryland--Baltimore,,,https://stage.digital.library.jhu.edu/system/files/2022-03-16/1912_017_022_0.pdf,
