term_name,description,field_authority_link,field_date,field_person_alternate_name,field_preferred_name_fuller_form,field_preferred_name_number,field_preferred_name_prefix,field_preferred_name_rest,field_preferred_name_suffix,field_primary_part_of_name,field_unique_id
A-Ritt-Pix,,,,,,,,,,A-Ritt-Pix,d1588aa4-3ded-4ac5-b20a-0b814b6a5111
A.C.,,,,,,,,,,A.C.,d2b524d1-f22b-4964-bf75-f7e50e994e97
A.D.,,,,,,,,,,A.D.,2fca9349-28c1-4d95-8df0-a66208b6275c
A.R.,,,,,,,,,,A.R.,8f6314df-ff31-4bc6-8fb7-880bc5702ce6
A.Z.,,,,,,,,,,A.Z.,3470c131-e3df-4f8d-b0ba-12b2085e5ac8
"Abernathy, Frances",,,,,,,,Frances,,Abernathy,cc47c845-fb9e-4711-82b7-91975c13d394
"Abernathy, Ralph, 1926-1990",,viaf%%http://viaf.org/viaf/92869358|lcnaf%%http://id.loc.gov/authorities/names/n87870916,1926/1990,,,,,Ralph,,Abernathy,b4f66ef4-093e-4ebe-bf73-310d9a820fbe
"Abrams, Talbert",,,,,,,,Talbert,,Abrams,4f53bef9-f9b4-41fd-aae9-7ca01b682410
"Adams, Henry C. (Henry Carter), 1851-1921",,viaf%%http://viaf.org/viaf/79256580|lcnaf%%http://id.loc.gov/authorities/names/n50036849,1851/1921,,Henry Carter,,,Henry C.,,Adams,c650ea2c-6352-401a-bc6a-632d37feddd9
"Adams, Herbert B. (Herbert Baxter), 1850-1901",,viaf%%http://viaf.org/viaf/49346809|lcnaf%%http://id.loc.gov/authorities/names/n50036850,1850/1901,,Herbert Baxter,,,Herbert B.,,Adams,540dc114-e53e-427b-8d6d-d8b070d83194
"Adlewilz, S. S.",,,,,,,,S. S.,,Adlewilz,582fd0b7-8faa-4616-a580-58d8efa9a547
"Adorno, Theodor W., 1903-1969",,viaf%%http://viaf.org/viaf/95247377|lcnaf%%http://id.loc.gov/authorities/names/n80002956,1903/1969,,,,,Theodor W.,,Adorno,ab32a6ef-1afd-4825-8fe0-9e32c418397e
Ahnaz,,,,,,,,,,Ahnaz,df5fda9a-76be-42cf-86e1-fef38f25730f
Al Cohen,,,,,,,,,,Al Cohen,fcb00cf8-1c08-41b8-b291-8904c18a4247
"Alavi, Hedy",,,,,,,,Hedy,,Alavi,343603c6-dc89-4b55-9a03-9d80863cb290
"Albert, Ramona",,,,,,,,Ramona,,Albert,83466ed9-4a2d-4a8f-a02c-1dca9b686b11
"Albright, William Foxwell, 1891-1971",,viaf%%http://viaf.org/viaf/35520|lcnaf%%http://id.loc.gov/authorities/names/n50041030,1891/1971,,,,,William Foxwell,,Albright,4bf8e557-fb7e-4143-895f-d0d91403b6a3
"Alexander, Anne",,,,,,,,Anne,,Alexander,f76941a1-3f36-4b19-940c-2f4a5a48100e
"Alexander, Holmes, 1906-1985",,viaf%%http://viaf.org/viaf/24978477|lcnaf%%http://id.loc.gov/authorities/names/n50033308,1906/1985,,,,,Holmes,,Alexander,6081699c-9d12-4edf-bae6-d3c6ac94dd90
"Alexander, Karl",,,,,,,,Karl,,Alexander,32651b12-d555-4241-95d5-e8cfbc37cee9
"Allen, Don Cameron, 1903-1972",,viaf%%http://viaf.org/viaf/109688525|lcnaf%%http://id.loc.gov/authorities/names/n79077195,1903/1972,,,,,Don Cameron,,Allen,3884a6b2-3d53-4032-a080-0afbca1da8fd
"Allen, James C.",,,,,,,,James C.,,Allen,6c16dfac-8b96-4254-8607-c99933c938a5
Altman,,,,,,,,,,Altman,94509523-8029-4992-b510-b84c4d58a7b2
"Alyea, Hubert N. (Hubert Newcombe), 1903-",,viaf%%http://viaf.org/viaf/112693757|lcnaf%%http://id.loc.gov/authorities/names/n87813837,1903/,,Hubert Newcombe,,,Hubert N.,,Alyea,a07f8946-2b45-4623-b58c-7058d5d23b4c
"Ambrose, Stephen E.",,viaf%%http://viaf.org/viaf/109151847|lcnaf%%http://id.loc.gov/authorities/names/n79138556,,,,,,Stephen E.,,Ambrose,d8e8f4e6-a34c-410b-9ad2-21e3e377c815
