term_name,description,field_authority_link,field_unique_id
3-D television,,fast%%http://id.worldcat.org/fast/1758774,de2da0c2-6b35-4ba5-9249-279e14319464
Ability--Testing,,fast%%http://id.worldcat.org/fast/794404,60538120-152a-415c-9dc9-77358a355385
Abolitionists,,fast%%http://id.worldcat.org/fast/794478,789c4f57-accc-4d99-a1c8-dcea7401a170
Academic achievement,,fast%%http://id.worldcat.org/fast/794949,111cc32f-7e93-426c-ac53-6c014bd599e3
Academic librarians,,fast%%http://id.worldcat.org/fast/794993,b487a4a5-089f-412e-ab5b-24ec356a7765
Academic libraries--Departmental libraries,,fast%%http://id.worldcat.org/fast/795032,3da555ce-ff6e-4773-b2f9-c859d358f148
Academic libraries,,fast%%http://id.worldcat.org/fast/794997,a0a10f7c-2e48-40e8-939c-03d909705016
Academic medical centers--Administration,,fast%%http://id.worldcat.org/fast/795080,a1a7b1ca-3381-4e88-871a-329e16a347ed
Academic medical centers--Finance,,fast%%http://id.worldcat.org/fast/795082,5777fa77-6ed3-455d-8cc2-5c8733bcf4ff
Academic theses,,fast%%http://id.worldcat.org/fast/1726453,2e5a8436-c23e-4575-94cd-cb6a60d88670
ACTH,,fast%%http://id.worldcat.org/fast/793788,6154d77d-f89f-4669-b15a-91869c861046
Adult college students,,fast%%http://id.worldcat.org/fast/797272,7242402b-0dde-42ad-a53f-b347e3857b90
Adult education,,fast%%http://id.worldcat.org/fast/797275,be644a03-cd16-4f2e-aab5-75fc5627262c
Advanced placement programs (Education),,fast%%http://id.worldcat.org/fast/797420,6f088c6b-44e7-4370-a0a0-c182c5dc50f5
Advertising--Management,,fast%%http://id.worldcat.org/fast/797692,52635148-063d-4bdb-8b2f-be82755b24c3
Aerial photogrammetry,,fast%%http://id.worldcat.org/fast/798071,28db4bf9-7f50-4d08-b1a8-07a2cbc1ea5b
Aerial photography,,fast%%http://id.worldcat.org/fast/798078,469f69b3-cc5b-43ce-9c8a-95c61a43c0bd
Aerial triangulation,,fast%%http://id.worldcat.org/fast/798146,28b010da-00ad-44d0-b650-1ea87e49e9a2
Aerobee rockets,,fast%%http://id.worldcat.org/fast/798157,df83b4ec-18d9-4107-8996-fe27677c9e5c
Aerospace telemetry,,fast%%http://id.worldcat.org/fast/798677,957f2433-9b44-4c55-9236-69eae8dff5c6
African American college students--Political activity,,fast%%http://id.worldcat.org/fast/799107,d68a2833-9f15-49cd-bc5d-7fa4028f86af
African American engineers,,fast%%http://id.worldcat.org/fast/799145,3f028884-b9ef-4a58-be8e-a35660d94e4c
African American leadership,,fast%%http://id.worldcat.org/fast/799219,5da10c22-c74c-4310-9f9a-328260053746
African American surgeons,,fast%%http://id.worldcat.org/fast/799383,16e2f7f2-798e-412f-8c19-90210e27f80b
African Americans in medicine,,fast%%http://id.worldcat.org/fast/799732,8b96f662-681e-4aa5-9d90-b10e980a68c7
African Americans--Civil rights,,fast%%http://id.worldcat.org/fast/799575,ef8152bb-a948-425a-bc8a-354b2c788e52
African Americans--Education (Higher),,fast%%http://id.worldcat.org/fast/799607,58fa574d-4e73-4a9b-b503-761c13437e1a
African Americans--Professional education,,fast%%http://id.worldcat.org/fast/799663,54261f0b-0527-422d-bc86-f8e9a0745165
African Americans--Segregation,,fast%%http://id.worldcat.org/fast/799695,1134c481-1b23-423d-9f8e-1eeb1945a3f3
Africanists,,fast%%http://id.worldcat.org/fast/799931,1f3b2c97-e9f6-4aaf-bc98-76ce5fde5a97
Agricultural chemistry,,fast%%http://id.worldcat.org/fast/800560,c5a012ed-eac1-4314-a485-dfb6c2679575
